title,date
"오비고, 현대모비스와 15억 규모 스마트카 서비스 공급계약",2021-09-27 14:54
"원바이오젠, 26억원 규모 경북 구미 토지·건물 양수 결정",2021-09-27 14:53
"오비고, 현대모비스와 15억 규모 공급계약 체결",2021-09-27 14:53
"웅진씽크빅, 계열사에 웅진북센 추가",2021-09-27 14:32
"웅진씽크빅, 웅진북센 계열사 편입 [주목 e공시]",2021-09-27 14:26
"웅진씽크빅, 지분취득으로 웅진북센 계열사 편입",2021-09-27 14:16
"한국가스공사, 2040년까지 그린수소 121만톤 도입 [주목 e공시]",2021-09-27 14:10
"인베니아, 260억 규모 디스플레이 장비 공급계약 체결",2021-09-27 14:09
"넷게임즈, 넥슨코리아와 '프로젝트 XH' 퍼블리싱 계약",2021-09-27 13:59
"아이디피, 21.5억 규모 은행 키오스크 카드프린터 공급계약",2021-09-27 13:59
"원티드랩, 1대1 무상증자 결정",2021-09-27 13:54
"노바텍, 30.5억원 규모 자사주 취득 결정",2021-09-27 13:48
"한국가스공사, 수소·신사업 계획 발표...“2040년까지 121만톤 그린수소 도입”",2021-09-27 13:33
"원티드랩, 주당 1주 배정 무상증자 결정",2021-09-27 13:19
"현대차·현대모비스, 아산공장 생산 재개 [주목 e공시]",2021-09-27 12:03
"삼강엠앤티, 846억 규모 해상풍력 발전기 하부구조물 제작 계약",2021-09-27 10:52
"삼강엠앤티, 846억원 규모 해상풍력발전기 구조물 제작 계약",2021-09-27 10:30
"삼강엠앤티, 846억 규모 해상풍력 발전기 구조물 공급 계약 체결",2021-09-27 10:20
"현대차?현대모비스, 27일 아산공장 생산 재개",2021-09-27 10:16
반도체 수급난에 멈췄던 현대차 아산공장 생산 재개,2021-09-27 09:53
"현대모비스,  車반도체 부품 재공급으로 아산공장 생산재개",2021-09-27 09:31
"현대차,  車반도체 부품 재공급으로 아산공장 생산재개",2021-09-27 09:29
"유진로봇, 손해배상 소송 당사자 간 합의",2021-09-27 08:43
[그래픽] 상장기업 배당금 수령자 순위,2021-09-27 07:46
[e공시 눈에 띄네]코스닥-24일,2021-09-27 07:23
[e공시 눈에 띄네]코스피-24일,2021-09-27 07:14
[코스피·코스닥 전 거래일(24일) 주요공시],2021-09-27 06:05
상반기 배당금 최대 수령자는 홍라희…삼성그룹 삼남매 3∼5위,2021-09-27 05:30
"[기업공시 9월 24일]와이팜, 2,798억 원 규모 테스나 지분 취득 결정",2021-09-25 07:02
[재송]24일 장 마감 후 주요 종목뉴스,2021-09-25 06:01
[유가증권 기업공시] (24일) GS건설 등,2021-09-24 22:31
[코스닥 기업공시] (24일) 휴마시스 등,2021-09-24 22:30
24일 장 마감 후 주요 종목뉴스,2021-09-24 22:18
장 마감 후 기업공시[9월 24일],2021-09-24 18:35
"거래소, 지트리비앤티 불성실공시법인 지정 예고",2021-09-24 18:02
"엘아이에스, 영흥씨엠에 580억원 규모 토지·건물 양도 결정",2021-09-24 17:50
"명성티엔에스 ""前 부사장 562만원 규모 횡령·배임 혐의로 고소""",2021-09-24 17:43
"씨엠에스에듀, 상장 적격성 실질심사 대상 제외… 27일 거래재개",2021-09-24 17:42
"이엠네트웍스, 상장폐지 효력정지 가처분 기각…28일부터 정리매매",2021-09-24 17:42
"보라티알, 더블미디어에 본사 건물 167억원에 양도 결정",2021-09-24 17:42
"블루베리NFT, 70억원 규모 제3자배정 유상증자 결정",2021-09-24 17:41
"거래소, 양지사 불성실공시법인 지정 예고",2021-09-24 17:39
"아이비김영 종속회사, 30억원 규모 주주배정 유상증자 결정",2021-09-24 17:28
"피제이메탈, 130억원 규모 단기차입금 증가 결정",2021-09-24 17:00
"[시그널] SK에코 플랜트 부문 4,500억에 사모펀드 품으로",2021-09-24 16:48
"와이팜, 테스나 지분 약 30.62% 2800억원에 양수… ""사업협력 강화""",2021-09-24 16:46
"메가엠디, 본점 소재지 서울 서초구 영림빌딩으로 이전",2021-09-24 16:46
"휴먼엔, 태민철강과 23억원 규모 고철 공급계약 체결",2021-09-24 16:22
"에스엘바이오닉스 ""더스칼라가 장부 등 열람 허용 가처분 신청 제기""",2021-09-24 16:22
"투비소프트, 50억원 규모 전환사채 발행 결정",2021-09-24 16:22
"대원산업, 계열회사에 111억원 규모 채무 보증 결정",2021-09-24 15:54
"옵트론텍, 계열회사에 53억원 규모 채무 보증 결정",2021-09-24 15:53
장 중 기업공시[9월 24일],2021-09-24 15:50
"율호, 본점 소재지 서울 서초대로6 이전",2021-09-24 14:53
"GS건설, 2570억원 규모 공사 수주",2021-09-24 14:31
"이베스트투자증권, 단기차입금 5500억 증가 결정",2021-09-24 14:29
"휴마시스, 셀트리온과 코로나19 항원진단키트 공급 계약 체결 [주목e공시]",2021-09-24 14:12
"한국기업평가, 10월 12일 오전 10시 임시주주총회 소집",2021-09-24 13:54
"휴맥스 ""충전업체 '차지비' 인수 관련 구체적 결정된 사항 없어""",2021-09-24 13:36
"휴마시스, 셀트리온과 273억원 규모 코로나19 진단키트 공급계약",2021-09-24 13:35
